epoch,loss_contrastive_divergence_epoch,loss_contrastive_divergence_step,loss_epoch,loss_regularization_epoch,loss_regularization_step,loss_step,lr-Adam,step
,,,,,,,0.0001,0
0,-0.0036349031142890453,,-0.0013242012355476618,0.0023107018787413836,,,,7
,,,,,,,9.7e-05,8
1,-0.011572265066206455,,-0.009547737427055836,0.002024527406319976,,,,15
,,,,,,,9.409e-05,16
2,-0.010180884972214699,,-0.008232559077441692,0.0019483263604342937,,,,23
,,,,,,,9.12673e-05,24
3,-0.009555933997035027,,-0.008056593127548695,0.001499341451562941,,,,31
,,,,,,,8.8529281e-05,32
4,-0.01047279592603445,,-0.009280079044401646,0.0011927179293707013,,,,39
,,,,,,,8.587340257e-05,40
5,-0.009997470304369926,,-0.00918483640998602,0.00081263342872262,,,,47
,,,,,,,8.329720049289999e-05,48
6,,-0.011424407362937927,,,0.0006913935649208724,-0.010733013972640038,,49
6,-0.00957243051379919,,-0.009044145233929157,0.0005282836500555277,,,,55
,,,,,,,8.079828447811299e-05,56
7,-0.010423473082482815,,-0.010047037154436111,0.0003764360153581947,,,,63
,,,,,,,7.83743359437696e-05,64
8,-0.008215690962970257,,-0.007857966236770153,0.0003577246388886124,,,,71
,,,,,,,7.60231058654565e-05,72
9,-0.005357023328542709,,-0.005175305996090174,0.00018171709962189198,,,,79
,,,,,,,7.37424126894928e-05,80
10,-0.006373703945428133,,-0.006257477216422558,0.00011622685997281224,,,,87
,,,,,,,7.1530140308808e-05,88
11,-0.006328761111944914,,-0.006218234077095985,0.00011052717309212312,,,,95
,,,,,,,6.938423609954376e-05,96
12,,-0.0045157382264733315,,,9.975845750886947e-05,-0.0044159796088933945,,99
12,-0.006342421285808086,,-0.006249243393540382,9.317885269410908e-05,,,,103
,,,,,,,6.730270901655745e-05,104
13,-0.002971709705889225,,-0.0029113872442394495,6.032239252817817e-05,,,,111
,,,,,,,6.528362774606072e-05,112
14,-0.003854056354612112,,-0.0037888193037360907,6.523714546347037e-05,,,,119
,,,,,,,6.332511891367889e-05,120
15,-0.0030233219731599092,,-0.002961318241432309,6.200406642165035e-05,,,,127
,,,,,,,6.142536534626853e-05,128
16,-0.0020694914273917675,,-0.0019990047439932823,7.048655970720574e-05,,,,135
,,,,,,,5.958260438588047e-05,136
17,-0.001711381832137704,,-0.0016574005130678415,5.398128996603191e-05,,,,143
,,,,,,,5.7795126254304054e-05,144
18,,-0.003656463697552681,,,7.741695299046114e-05,-0.0035790468100458384,,149
18,-0.0031097803730517626,,-0.003023003228008747,8.677660662215203e-05,,,,151
,,,,,,,5.606127246667493e-05,152
19,-0.001697878586128354,,-0.001612255466170609,8.562317088944837e-05,,,,159
